时间(s),器件类型,中心温度(℃),引脚温度(℃)
218.57,陶封芯片,194.56,198.96
218.96,贴片电阻,196.08,196.38
218.96,贴片电容,194.7,196.38
218.96,塑封芯片,189.94,196.38
218.96,陶封芯片,191.93,196.38
219.35,贴片电阻,193.41,195.11
219.35,贴片电容,194.23,195.11
219.35,塑封芯片,188.09,195.11
219.35,陶封芯片,190.85,195.11
219.75,贴片电阻,197.34,199.16
219.75,贴片电容,196.53,199.16
219.75,塑封芯片,192.58,199.16
219.75,陶封芯片,195.37,199.16
220.14,贴片电阻,200.01,200.76
220.14,贴片电容,200.24,200.76
220.14,塑封芯片,194.19,200.76
220.14,陶封芯片,195.85,200.76
220.53,贴片电阻,196.07,197.94
220.53,贴片电容,196.57,197.94
220.53,塑封芯片,192.07,197.94
220.53,陶封芯片,193.55,197.94
220.92,贴片电阻,199.41,200.5
220.92,贴片电容,198.43,200.5
220.92,塑封芯片,193.44,200.5
220.92,陶封芯片,196.76,200.5
221.31,贴片电阻,198.54,201.2
221.31,贴片电容,200.55,201.2
221.31,塑封芯片,193.89,201.2
221.31,陶封芯片,196.92,201.2
221.7,贴片电阻,190.65,193.44
221.7,贴片电容,192.78,193.44
221.7,塑封芯片,187.99,193.44
221.7,陶封芯片,189.98,193.44
222.09,贴片电阻,195.34,197.73
222.09,贴片电容,196.18,197.73
222.09,塑封芯片,190.21,197.73
222.09,陶封芯片,194.27,197.73
222.48,贴片电阻,190.74,192.87
222.48,贴片电容,192.46,192.87
222.48,塑封芯片,187.53,192.87
222.48,陶封芯片,189.5,192.87
222.87,贴片电阻,191.94,192.23
222.87,贴片电容,189.97,192.23
222.87,塑封芯片,185.56,192.23
222.87,陶封芯片,188.42,192.23
223.26,贴片电阻,189.85,192.54
223.26,贴片电容,190.61,192.54
223.26,塑封芯片,185.49,192.54
223.26,陶封芯片,188.12,192.54
223.66,贴片电阻,189.83,192.42
223.66,贴片电容,190.34,192.42
223.66,塑封芯片,186.25,192.42
223.66,陶封芯片,190.36,192.42
224.05,贴片电阻,192.27,194.96
224.05,贴片电容,194.67,194.96
224.05,塑封芯片,188.11,194.96
224.05,陶封芯片,192.09,194.96
224.44,贴片电阻,199.27,199.94
224.44,贴片电容,198.42,199.94
224.44,塑封芯片,194.71,199.94
224.44,陶封芯片,197.21,199.94
224.83,贴片电阻,194.58,196.97
224.83,贴片电容,195.18,196.97
224.83,塑封芯片,191.92,196.97
224.83,陶封芯片,193.23,196.97
225.22,贴片电阻,200.77,202.4
225.22,贴片电容,200.91,202.4
225.22,塑封芯片,197.3,202.4
225.22,陶封芯片,199.44,202.4
225.61,贴片电阻,194.32,194.63
225.61,贴片电容,194.31,194.63
225.61,塑封芯片,189.39,194.63
225.61,陶封芯片,192.25,194.63
226.0,贴片电阻,194.86,196.1
226.0,贴片电容,194.49,196.1
226.0,塑封芯片,189.62,196.1
226.0,陶封芯片,192.3,196.1
226.39,贴片电阻,195.23,197.06
226.39,贴片电容,194.79,197.06
226.39,塑封芯片,191.12,197.06
226.39,陶封芯片,192.46,197.06
226.78,贴片电阻,201.71,201.75
226.78,贴片电容,200.17,201.75
226.78,塑封芯片,196.71,201.75
226.78,陶封芯片,197.73,201.75
227.17,贴片电阻,198.7,199.13
227.17,贴片电容,196.76,199.13
227.17,塑封芯片,193.71,199.13
227.17,陶封芯片,195.82,199.13
227.57,贴片电阻,199.6,201.03
227.57,贴片电容,198.42,201.03
227.57,塑封芯片,195.21,201.03
227.57,陶封芯片,198.49,201.03
227.96,贴片电阻,197.83,199.83
227.96,贴片电容,196.98,199.83
227.96,塑封芯片,193.28,199.83
227.96,陶封芯片,197.69,199.83
228.35,贴片电阻,196.98,197.76
228.35,贴片电容,196.48,197.76
228.35,塑封芯片,191.89,197.76
228.35,陶封芯片,194.15,197.76
228.74,贴片电阻,194.84,195.61
228.74,贴片电容,195.61,195.61
228.74,塑封芯片,188.63,195.61
228.74,陶封芯片,192.68,195.61
229.13,贴片电阻,194.25,196.98
229.13,贴片电容,194.2,196.98
229.13,塑封芯片,189.54,196.98
229.13,陶封芯片,192.16,196.98
229.52,贴片电阻,199.14,199.46
229.52,贴片电容,199.1,199.46
229.52,塑封芯片,192.83,199.46
229.52,陶封芯片,196.12,199.46
229.91,贴片电阻,194.57,195.26
229.91,贴片电容,194.39,195.26
229.91,塑封芯片,189.23,195.26
229.91,陶封芯片,190.77,195.26
230.3,贴片电阻,195.35,196.96
230.3,贴片电容,195.13,196.96
230.3,塑封芯片,189.06,196.96
230.3,陶封芯片,194.87,196.96
230.69,贴片电阻,194.81,195.11
230.69,贴片电容,192.79,195.11
230.69,塑封芯片,189.21,195.11
230.69,陶封芯片,191.67,195.11
231.09,贴片电阻,191.49,194.33
231.09,贴片电容,192.15,194.33
231.09,塑封芯片,186.75,194.33
231.09,陶封芯片,191.64,194.33
231.48,贴片电阻,201.01,201.82
231.48,贴片电容,200.34,201.82
231.48,塑封芯片,195.79,201.82
231.48,陶封芯片,198.2,201.82
231.87,贴片电阻,195.55,196.57
231.87,贴片电容,195.94,196.57
231.87,塑封芯片,188.88,196.57
231.87,陶封芯片,194.14,196.57
232.26,贴片电阻,192.42,194.49
232.26,贴片电容,192.6,194.49
232.26,塑封芯片,188.33,194.49
232.26,陶封芯片,189.81,194.49
232.65,贴片电阻,194.03,194.98
232.65,贴片电容,193.39,194.98
232.65,塑封芯片,189.71,194.98
232.65,陶封芯片,191.94,194.98
233.04,贴片电阻,194.39,196.82
233.04,贴片电容,193.91,196.82
233.04,塑封芯片,191.48,196.82
233.04,陶封芯片,192.13,196.82
233.43,贴片电阻,198.38,199.25
233.43,贴片电容,196.48,199.25
233.43,塑封芯片,191.93,199.25
233.43,陶封芯片,196.91,199.25
233.82,贴片电阻,196.81,197.66
233.82,贴片电容,194.8,197.66
233.82,塑封芯片,190.75,197.66
233.82,陶封芯片,194.57,197.66
234.21,贴片电阻,199.3,200.47
234.21,贴片电容,198.65,200.47
234.21,塑封芯片,194.41,200.47
234.21,陶封芯片,197.79,200.47
234.6,贴片电阻,196.94,198.6
234.6,贴片电容,197.45,198.6
234.6,塑封芯片,193.56,198.6
234.6,陶封芯片,194.55,198.6
235.0,贴片电阻,195.94,198.58
235.0,贴片电容,198.15,198.58
235.0,塑封芯片,192.03,198.58
235.0,陶封芯片,194.88,198.58
235.39,贴片电阻,193.88,196.21
235.39,贴片电容,195.68,196.21
235.39,塑封芯片,189.4,196.21
235.39,陶封芯片,193.96,196.21
235.78,贴片电阻,199.33,201.88
235.78,贴片电容,200.18,201.88
235.78,塑封芯片,195.42,201.88
235.78,陶封芯片,197.43,201.88
236.17,贴片电阻,197.75,200.72
236.17,贴片电容,198.77,200.72
236.17,塑封芯片,194.24,200.72
236.17,陶封芯片,196.64,200.72
236.56,贴片电阻,195.65,195.89
236.56,贴片电容,193.24,195.89
236.56,塑封芯片,188.82,195.89
236.56,陶封芯片,191.87,195.89
236.95,贴片电阻,198.33,198.41
236.95,贴片电容,197.75,198.41
236.95,塑封芯片,191.41,198.41
236.95,陶封芯片,194.97,198.41
237.34,贴片电阻,196.95,199.77
237.34,贴片电容,198.82,199.77
237.34,塑封芯片,193.12,199.77
237.34,陶封芯片,196.57,199.77
237.73,贴片电阻,201.18,203.66
237.73,贴片电容,202.92,203.66
237.73,塑封芯片,196.11,203.66
237.73,陶封芯片,199.08,203.66
238.12,贴片电阻,192.77,195.34
238.12,贴片电容,194.24,195.34
238.12,塑封芯片,187.47,195.34
238.12,陶封芯片,193.05,195.34
238.51,贴片电阻,193.67,195.03
238.51,贴片电容,192.56,195.03
238.51,塑封芯片,188.28,195.03
238.51,陶封芯片,191.26,195.03
238.91,贴片电阻,200.45,200.67
238.91,贴片电容,198.83,200.67
238.91,塑封芯片,194.17,200.67
238.91,陶封芯片,196.04,200.67
239.3,贴片电阻,198.42,199.56
239.3,贴片电容,197.25,199.56
239.3,塑封芯片,192.93,199.56
239.3,陶封芯片,196.26,199.56
239.69,贴片电阻,203.28,203.69
239.69,贴片电容,202.81,203.69
239.69,塑封芯片,196.39,203.69
239.69,陶封芯片,200.44,203.69
240.08,贴片电阻,179.28,180.16
240.08,贴片电容,177.32,180.16
240.08,塑封芯片,172.75,180.16
240.08,陶封芯片,175.19,180.16
240.47,贴片电阻,180.87,180.94
240.47,贴片电容,179.31,180.94
240.47,塑封芯片,174.79,180.94
240.47,陶封芯片,177.03,180.94
240.86,贴片电阻,179.4,181.72
240.86,贴片电容,180.76,181.72
240.86,塑封芯片,175.34,181.72
240.86,陶封芯片,179.5,181.72
241.25,贴片电阻,180.53,182.5
241.25,贴片电容,182.42,182.5
241.25,塑封芯片,174.74,182.5
241.25,陶封芯片,180.34,182.5
241.64,贴片电阻,180.46,183.28
241.64,贴片电容,182.28,183.28
241.64,塑封芯片,177.78,183.28
241.64,陶封芯片,178.94,183.28
242.03,贴片电阻,181.24,184.07
242.03,贴片电容,183.65,184.07
242.03,塑封芯片,178.39,184.07
242.03,陶封芯片,180.13,184.07
242.42,贴片电阻,182.57,184.85
242.42,贴片电容,181.87,184.85
242.42,塑封芯片,178.05,184.85
242.42,陶封芯片,179.92,184.85
242.82,贴片电阻,183.09,185.63
242.82,贴片电容,183.66,185.63
242.82,塑封芯片,180.33,185.63
242.82,陶封芯片,181.24,185.63
243.21,贴片电阻,183.61,186.41
243.21,贴片电容,184.46,186.41
243.21,塑封芯片,180.15,186.41
243.21,陶封芯片,183.95,186.41
243.6,贴片电阻,184.79,187.19
243.6,贴片电容,185.46,187.19
243.6,塑封芯片,180.7,187.19
243.6,陶封芯片,182.81,187.19
243.99,贴片电阻,186.86,187.98
243.99,贴片电容,185.13,187.98
243.99,塑封芯片,181.15,187.98
243.99,陶封芯片,183.68,187.98
244.38,贴片电阻,186.84,188.76
244.38,贴片电容,187.27,188.76
244.38,塑封芯片,182.2,188.76
244.38,陶封芯片,185.3,188.76
244.77,贴片电阻,187.08,189.54
244.77,贴片电容,188.02,189.54
244.77,塑封芯片,182.37,189.54
244.77,陶封芯片,184.93,189.54
245.16,贴片电阻,189.49,190.32
245.16,贴片电容,187.65,190.32
245.16,塑封芯片,185.26,190.32
245.16,陶封芯片,186.61,190.32
245.55,贴片电阻,190.65,191.1
245.55,贴片电容,189.05,191.1
245.55,塑封芯片,185.71,191.1
245.55,陶封芯片,188.17,191.1
245.94,贴片电阻,190.47,191.89
245.94,贴片电容,189.56,191.89
245.94,塑封芯片,185.84,191.89
245.94,陶封芯片,186.99,191.89
246.33,贴片电阻,191.4,192.67
246.33,贴片电容,190.85,192.67
246.33,塑封芯片,187.42,192.67
246.33,陶封芯片,190.5,192.67
246.73,贴片电阻,190.92,193.45
246.73,贴片电容,192.01,193.45
246.73,塑封芯片,186.43,193.45
246.73,陶封芯片,189.65,193.45
247.12,贴片电阻,191.84,194.23
247.12,贴片电容,192.8,194.23
247.12,塑封芯片,188.61,194.23
247.12,陶封芯片,189.73,194.23
247.51,贴片电阻,194.12,195.01
247.51,贴片电容,192.22,195.01
247.51,塑封芯片,189.52,195.01
247.51,陶封芯片,190.97,195.01
247.9,贴片电阻,194.6,195.8
247.9,贴片电容,193.74,195.8
247.9,塑封芯片,188.59,195.8
247.9,陶封芯片,191.19,195.8
248.29,贴片电阻,194.35,196.58
248.29,贴片电容,195.94,196.58
248.29,塑封芯片,191.57,196.58
248.29,陶封芯片,192.98,196.58
248.68,贴片电阻,195.27,197.36
248.68,贴片电容,196.04,197.36
248.68,塑封芯片,191.16,197.36
248.68,陶封芯片,193.64,197.36
249.07,贴片电阻,197.03,198.14
249.07,贴片电容,196.2,198.14
249.07,塑封芯片,193.08,198.14
249.07,陶封芯片,195.72,198.14
249.46,贴片电阻,197.66,198.92
249.46,贴片电容,195.94,198.92
249.46,塑封芯片,193.8,198.92
249.46,陶封芯片,195.85,198.92
249.85,贴片电阻,199.26,199.71
249.85,贴片电容,197.3,199.71
249.85,塑封芯片,194.69,199.71
249.85,陶封芯片,197.51,199.71
250.24,贴片电阻,197.65,200.49
250.24,贴片电容,200.38,200.49
250.24,塑封芯片,194.44,200.49
250.24,陶封芯片,198.1,200.49
250.64,贴片电阻,200.42,201.27
250.64,贴片电容,199.47,201.27
250.64,塑封芯片,195.86,201.27
250.64,陶封芯片,196.55,201.27
251.03,贴片电阻,201.75,202.05
251.03,贴片电容,199.26,202.05
251.03,塑封芯片,196.73,202.05
251.03,陶封芯片,199.05,202.05
251.42,贴片电阻,201.84,202.83
251.42,贴片电容,201.88,202.83
251.42,塑封芯片,195.32,202.83
251.42,陶封芯片,198.78,202.83
251.81,贴片电阻,203.26,203.62
251.81,贴片电容,201.21,203.62
251.81,塑封芯片,196.62,203.62
251.81,陶封芯片,200.12,203.62
252.2,贴片电阻,203.68,204.4
252.2,贴片电容,203.36,204.4
252.2,塑封芯片,196.62,204.4
252.2,陶封芯片,200.8,204.4
252.59,贴片电阻,204.52,205.18
252.59,贴片电容,204.28,205.18
252.59,塑封芯片,198.58,205.18
252.59,陶封芯片,200.22,205.18
252.98,贴片电阻,205.44,205.96
252.98,贴片电容,203.58,205.96
252.98,塑封芯片,199.26,205.96
252.98,陶封芯片,201.08,205.96
253.37,贴片电阻,204.62,206.74
253.37,贴片电容,204.23,206.74
253.37,塑封芯片,200.78,206.74
253.37,陶封芯片,202.27,206.74
253.76,贴片电阻,206.91,207.53
253.76,贴片电容,206.77,207.53
253.76,塑封芯片,199.74,207.53
253.76,陶封芯片,204.36,207.53
254.15,贴片电阻,206.99,208.31
254.15,贴片电容,206.74,208.31
254.15,塑封芯片,200.52,208.31
254.15,陶封芯片,203.69,208.31
254.55,贴片电阻,206.96,209.09
254.55,贴片电容,207.15,209.09
254.55,塑封芯片,201.2,209.09
254.55,陶封芯片,206.77,209.09
254.94,贴片电阻,209.57,209.87
254.94,贴片电容,208.57,209.87
254.94,塑封芯片,203.72,209.87
254.94,陶封芯片,205.37,209.87
255.33,贴片电阻,210.13,210.65
255.33,贴片电容,210.42,210.65
255.33,塑封芯片,204.8,210.65
255.33,陶封芯片,208.65,210.65
255.72,贴片电阻,210.36,211.44
255.72,贴片电容,210.83,211.44
255.72,塑封芯片,204.5,211.44
255.72,陶封芯片,207.83,211.44
256.11,贴片电阻,209.95,212.22
256.11,贴片电容,209.3,212.22
256.11,塑封芯片,204.99,212.22
256.11,陶封芯片,207.83,212.22
256.5,贴片电阻,210.96,213.0
256.5,贴片电容,211.22,213.0
256.5,塑封芯片,205.44,213.0
256.5,陶封芯片,208.62,213.0
256.89,贴片电阻,211.98,213.78
256.89,贴片电容,211.08,213.78
256.89,塑封芯片,208.6,213.78
256.89,陶封芯片,210.02,213.78
257.28,贴片电阻,213.78,214.57
257.28,贴片电容,213.8,214.57
257.28,塑封芯片,208.19,214.57
257.28,陶封芯片,211.34,214.57
257.67,贴片电阻,214.03,215.35
257.67,贴片电容,212.35,215.35
257.67,塑封芯片,207.67,215.35
257.67,陶封芯片,212.58,215.35
258.06,贴片电阻,215.54,216.13
258.06,贴片电容,215.12,216.13
258.06,塑封芯片,210.53,216.13
258.06,陶封芯片,213.28,216.13
258.46,贴片电阻,215.47,216.91
258.46,贴片电容,216.53,216.91
258.46,塑封芯片,209.48,216.91
258.46,陶封芯片,214.59,216.91
258.85,贴片电阻,216.04,217.69
258.85,贴片电容,214.72,217.69
258.85,塑封芯片,211.64,217.69
258.85,陶封芯片,215.66,217.69
259.24,贴片电阻,216.5,218.48
259.24,贴片电容,215.96,218.48
259.24,塑封芯片,212.03,218.48
259.24,陶封芯片,213.75,218.48
259.63,贴片电阻,217.05,219.26
259.63,贴片电容,217.35,219.26
259.63,塑封芯片,213.73,219.26
259.63,陶封芯片,215.22,219.26
260.02,贴片电阻,219.16,220.04
260.02,贴片电容,218.77,220.04
260.02,塑封芯片,212.27,220.04
260.02,陶封芯片,217.07,220.04
260.41,贴片电阻,220.68,220.82
260.41,贴片电容,219.77,220.82
260.41,塑封芯片,213.1,220.82
260.41,陶封芯片,218.51,220.82
260.8,贴片电阻,220.96,221.6
260.8,贴片电容,220.73,221.6
260.8,塑封芯片,214.85,221.6
260.8,陶封芯片,217.31,221.6
261.19,贴片电阻,222.26,222.39
261.19,贴片电容,221.17,222.39
261.19,塑封芯片,216.93,222.39
261.19,陶封芯片,219.86,222.39
261.58,贴片电阻,221.48,223.17
261.58,贴片电容,220.46,223.17
261.58,塑封芯片,217.96,223.17
261.58,陶封芯片,220.71,223.17
261.97,贴片电阻,221.72,223.95
261.97,贴片电容,222.87,223.95
261.97,塑封芯片,215.97,223.95
261.97,陶封芯片,220.74,223.95
262.37,贴片电阻,221.81,224.73
262.37,贴片电容,223.89,224.73
262.37,塑封芯片,218.21,224.73
262.37,陶封芯片,222.26,224.73
262.76,贴片电阻,224.44,225.51
262.76,贴片电容,222.81,225.51
262.76,塑封芯片,218.29,225.51
262.76,陶封芯片,223.34,225.51
263.15,贴片电阻,223.79,226.3
263.15,贴片电容,226.16,226.3
263.15,塑封芯片,220.88,226.3
263.15,陶封芯片,223.01,226.3
263.54,贴片电阻,224.61,227.08
263.54,贴片电容,225.95,227.08
263.54,塑封芯片,220.33,227.08
263.54,陶封芯片,223.88,227.08
263.93,贴片电阻,226.38,227.86
263.93,贴片电容,226.12,227.86
263.93,塑封芯片,222.17,227.86
263.93,陶封芯片,225.75,227.86
264.32,贴片电阻,228.33,228.64
264.32,贴片电容,226.17,228.64
264.32,塑封芯片,222.52,228.64
264.32,陶封芯片,224.26,228.64
264.71,贴片电阻,226.92,229.42
264.71,贴片电容,227.4,229.42
264.71,塑封芯片,222.98,229.42
264.71,陶封芯片,225.12,229.42
265.1,贴片电阻,229.03,230.21
265.1,贴片电容,228.23,230.21
265.1,塑封芯片,222.21,230.21
265.1,陶封芯片,226.82,230.21
265.49,贴片电阻,229.47,230.99
265.49,贴片电容,230.49,230.99
265.49,塑封芯片,224.24,230.99
265.49,陶封芯片,228.14,230.99
265.88,贴片电阻,231.46,231.77
265.88,贴片电容,230.11,231.77
265.88,塑封芯片,226.24,231.77
265.88,陶封芯片,228.31,231.77
266.28,贴片电阻,231.07,232.55
266.28,贴片电容,231.36,232.55
266.28,塑封芯片,225.06,232.55
266.28,陶封芯片,228.98,232.55
266.67,贴片电阻,232.95,233.33
266.67,贴片电容,232.89,233.33
266.67,塑封芯片,227.7,233.33
266.67,陶封芯片,228.97,233.33
267.06,贴片电阻,233.82,234.12
267.06,贴片电容,232.37,234.12
267.06,塑封芯片,226.34,234.12
267.06,陶封芯片,230.54,234.12
267.45,贴片电阻,232.93,234.9
267.45,贴片电容,232.34,234.9
267.45,塑封芯片,226.91,234.9
267.45,陶封芯片,232.02,234.9
267.84,贴片电阻,234.22,235.68
267.84,贴片电容,232.98,235.68
267.84,塑封芯片,228.96,235.68
267.84,陶封芯片,232.36,235.68
268.23,贴片电阻,235.73,236.46
268.23,贴片电容,234.34,236.46
268.23,塑封芯片,228.93,236.46
268.23,陶封芯片,233.94,236.46
268.62,贴片电阻,236.18,237.24
268.62,贴片电容,237.11,237.24
268.62,塑封芯片,230.18,237.24
268.62,陶封芯片,234.73,237.24
269.01,贴片电阻,237.92,238.03
269.01,贴片电容,236.8,238.03
269.01,塑封芯片,232.92,238.03
269.01,陶封芯片,234.62,238.03
269.4,贴片电阻,237.56,238.81
269.4,贴片电容,236.95,238.81
269.4,塑封芯片,232.54,238.81
269.4,陶封芯片,236.55,238.81
269.79,贴片电阻,239.06,239.59
269.79,贴片电容,236.66,239.59
269.79,塑封芯片,231.67,239.59
269.79,陶封芯片,235.35,239.59
270.19,贴片电阻,238.94,240.37
270.19,贴片电容,238.17,240.37
270.19,塑封芯片,234.24,240.37
270.19,陶封芯片,236.43,240.37
270.58,贴片电阻,240.24,241.15
270.58,贴片电容,240.97,241.15
270.58,塑封芯片,234.53,241.15
270.58,陶封芯片,236.82,241.15
270.97,贴片电阻,241.78,241.94
270.97,贴片电容,241.28,241.94
270.97,塑封芯片,236.71,241.94
270.97,陶封芯片,237.58,241.94
271.36,贴片电阻,240.42,242.72
271.36,贴片电容,239.91,242.72
271.36,塑封芯片,235.45,242.72
271.36,陶封芯片,240.58,242.72
271.75,贴片电阻,242.28,243.5
271.75,贴片电容,242.38,243.5
271.75,塑封芯片,236.21,243.5
271.75,陶封芯片,241.3,243.5
272.14,贴片电阻,242.04,244.28
272.14,贴片电容,244.25,244.28
272.14,塑封芯片,236.64,244.28
272.14,陶封芯片,240.36,244.28
272.53,贴片电阻,244.4,246.79
272.53,贴片电容,243.99,246.79
272.53,塑封芯片,239.93,246.79
272.53,陶封芯片,242.42,246.79
272.92,贴片电阻,243.84,244.9
272.92,贴片电容,242.01,244.9
272.92,塑封芯片,237.54,244.9
272.92,陶封芯片,241.57,244.9
273.31,贴片电阻,243.0,243.89
273.31,贴片电容,242.7,243.89
273.31,塑封芯片,237.75,243.89
273.31,陶封芯片,240.6,243.89
273.7,贴片电阻,241.73,243.44
273.7,贴片电容,241.98,243.44
273.7,塑封芯片,236.17,243.44
273.7,陶封芯片,239.1,243.44
274.1,贴片电阻,243.65,244.31
274.1,贴片电容,242.06,244.31
274.1,塑封芯片,237.59,244.31
274.1,陶封芯片,242.26,244.31
274.49,贴片电阻,245.07,246.39
274.49,贴片电容,245.87,246.39
274.49,塑封芯片,240.93,246.39
274.49,陶封芯片,243.22,246.39
274.88,贴片电阻,240.58,243.45
274.88,贴片电容,240.61,243.45
274.88,塑封芯片,235.95,243.45
274.88,陶封芯片,240.0,243.45
275.27,贴片电阻,240.36,243.29
275.27,贴片电容,242.75,243.29
275.27,塑封芯片,237.72,243.29
275.27,陶封芯片,238.64,243.29
275.66,贴片电阻,245.73,246.55
275.66,贴片电容,243.94,246.55
275.66,塑封芯片,241.42,246.55
275.66,陶封芯片,242.53,246.55
276.05,贴片电阻,241.52,243.66
276.05,贴片电容,240.74,243.66
276.05,塑封芯片,236.5,243.66
276.05,陶封芯片,240.11,243.66
276.44,贴片电阻,243.6,245.15
276.44,贴片电容,243.37,245.15
276.44,塑封芯片,239.02,245.15
276.44,陶封芯片,240.35,245.15
276.83,贴片电阻,240.41,243.35
276.83,贴片电容,240.9,243.35
276.83,塑封芯片,236.07,243.35
276.83,陶封芯片,239.8,243.35
277.22,贴片电阻,245.2,246.0
277.22,贴片电容,243.71,246.0
277.22,塑封芯片,239.55,246.0
277.22,陶封芯片,243.91,246.0
277.61,贴片电阻,242.63,244.92
277.61,贴片电容,242.38,244.92
277.61,塑封芯片,239.13,244.92
277.61,陶封芯片,241.8,244.92
278.01,贴片电阻,242.75,244.15
278.01,贴片电容,242.64,244.15
278.01,塑封芯片,236.25,244.15
278.01,陶封芯片,240.57,244.15
278.4,贴片电阻,245.45,245.8
278.4,贴片电容,243.75,245.8
278.4,塑封芯片,240.17,245.8
278.4,陶封芯片,241.46,245.8
278.79,贴片电阻,245.24,245.73
278.79,贴片电容,244.27,245.73
278.79,塑封芯片,240.49,245.73
278.79,陶封芯片,241.7,245.73
279.18,贴片电阻,241.81,243.99
279.18,贴片电容,242.41,243.99
279.18,塑封芯片,238.84,243.99
279.18,陶封芯片,240.28,243.99
279.57,贴片电阻,243.58,246.06
279.57,贴片电容,243.39,246.06
279.57,塑封芯片,239.62,246.06
279.57,陶封芯片,243.88,246.06
279.96,贴片电阻,242.32,243.51
279.96,贴片电容,243.33,243.51
279.96,塑封芯片,236.28,243.51
279.96,陶封芯片,240.71,243.51
280.35,贴片电阻,244.12,244.26
280.35,贴片电容,243.46,244.26
280.35,塑封芯片,237.1,244.26
280.35,陶封芯片,241.75,244.26
280.74,贴片电阻,241.61,243.59
280.74,贴片电容,240.8,243.59
280.74,塑封芯片,236.97,243.59
280.74,陶封芯片,239.11,243.59
281.13,贴片电阻,242.85,243.5
281.13,贴片电容,241.43,243.5
281.13,塑封芯片,238.49,243.5
281.13,陶封芯片,239.05,243.5
281.52,贴片电阻,244.44,246.21
281.52,贴片电容,245.9,246.21
281.52,塑封芯片,240.84,246.21
281.52,陶封芯片,243.06,246.21
281.92,贴片电阻,243.95,245.42
281.92,贴片电容,243.38,245.42
281.92,塑封芯片,239.92,245.42
281.92,陶封芯片,240.71,245.42
282.31,贴片电阻,245.72,246.75
282.31,贴片电容,244.61,246.75
282.31,塑封芯片,240.77,246.75
282.31,陶封芯片,242.29,246.75
282.7,贴片电阻,245.05,246.39
282.7,贴片电容,245.56,246.39
282.7,塑封芯片,238.93,246.39
282.7,陶封芯片,243.25,246.39
283.09,贴片电阻,245.14,246.54
283.09,贴片电容,246.53,246.54
283.09,塑封芯片,239.08,246.54
283.09,陶封芯片,244.32,246.54
283.48,贴片电阻,244.76,245.34
283.48,贴片电容,243.49,245.34
283.48,塑封芯片,240.25,245.34
283.48,陶封芯片,240.93,245.34
283.87,贴片电阻,243.1,245.75
283.87,贴片电容,245.72,245.75
283.87,塑封芯片,239.16,245.75
283.87,陶封芯片,240.87,245.75
284.26,贴片电阻,243.78,246.34
284.26,贴片电容,245.19,246.34
284.26,塑封芯片,240.87,246.34
284.26,陶封芯片,244.21,246.34
284.65,贴片电阻,242.03,243.95
284.65,贴片电容,243.13,243.95
284.65,塑封芯片,237.76,243.95
284.65,陶封芯片,240.8,243.95
285.04,贴片电阻,244.85,245.44
285.04,贴片电容,244.64,245.44
285.04,塑封芯片,239.25,245.44
285.04,陶封芯片,241.35,245.44
285.43,贴片电阻,244.88,246.45
285.43,贴片电容,246.08,246.45
285.43,塑封芯片,238.57,246.45
285.43,陶封芯片,241.77,246.45
285.83,贴片电阻,243.05,245.46
285.83,贴片电容,244.39,245.46
285.83,塑封芯片,240.19,245.46
285.83,陶封芯片,243.36,245.46
286.22,贴片电阻,242.2,244.47
286.22,贴片电容,241.86,244.47
286.22,塑封芯片,238.73,244.47
286.22,陶封芯片,239.89,244.47
286.61,贴片电阻,245.11,245.88
286.61,贴片电容,242.99,245.88
286.61,塑封芯片,238.13,245.88
286.61,陶封芯片,241.21,245.88
287.0,贴片电阻,245.63,246.82
287.0,贴片电容,246.06,246.82
287.0,塑封芯片,240.24,246.82
287.0,陶封芯片,244.0,246.82
287.39,贴片电阻,242.46,243.61
287.39,贴片电容,241.11,243.61
287.39,塑封芯片,238.07,243.61
287.39,陶封芯片,239.14,243.61
287.78,贴片电阻,243.76,244.62
287.78,贴片电容,242.76,244.62
287.78,塑封芯片,238.13,244.62
287.78,陶封芯片,242.13,244.62
288.17,贴片电阻,245.62,246.12
288.17,贴片电容,243.53,246.12
288.17,塑封芯片,239.25,246.12
288.17,陶封芯片,241.48,246.12
288.56,贴片电阻,243.25,244.78
288.56,贴片电容,242.14,244.78
288.56,塑封芯片,239.23,244.78
288.56,陶封芯片,239.86,244.78
288.95,贴片电阻,242.59,243.42
288.95,贴片电容,242.62,243.42
288.95,塑封芯片,237.9,243.42
288.95,陶封芯片,238.49,243.42
289.35,贴片电阻,241.46,243.85
289.35,贴片电容,241.49,243.85
289.35,塑封芯片,237.17,243.85
289.35,陶封芯片,239.53,243.85
289.74,贴片电阻,244.71,245.22
289.74,贴片电容,243.68,245.22
289.74,塑封芯片,237.71,245.22
289.74,陶封芯片,242.34,245.22
290.13,贴片电阻,243.07,245.7
290.13,贴片电容,243.66,245.7
290.13,塑封芯片,240.67,245.7
290.13,陶封芯片,240.78,245.7
290.52,贴片电阻,244.76,246.57
290.52,贴片电容,243.88,246.57
290.52,塑封芯片,240.29,246.57
290.52,陶封芯片,244.24,246.57
290.91,贴片电阻,240.37,243.36
290.91,贴片电容,243.34,243.36
290.91,塑封芯片,237.09,243.36
290.91,陶封芯片,240.42,243.36
291.3,贴片电阻,244.04,246.4
291.3,贴片电容,246.12,246.4
291.3,塑封芯片,239.73,246.4
291.3,陶封芯片,243.96,246.4
